Designator,Mid X,Mid Y,Rotation,Layer
C1,10.0,30.0,90.0,top
C10,38.341732,26.663325,258.75,top
C11,35.277653,27.932508,236.25,top
C12,32.932508,30.277653,213.75,top
C13,31.663325,33.341732,191.25,top
C14,31.663325,36.658268,168.75,top
C15,32.932508,39.722347,146.25,top
C16,35.277653,42.067492,123.75,top
C17,38.341732,43.336675,101.25,top
C19,29.2,39.5,90.0,top
C2,41.658268,43.336675,78.75,top
C20,12.45,39.158664,90.0,top
C21,50.65,41.3,270.0,top
C22,53.1,43.0,0.0,top
C23,53.35,27.0,180.0,top
C24,40.0,38.5,180.0,top
C25,36.5,35.0,90.0,top
C26,40.0,31.5,180.0,top
C27,43.5,35.0,90.0,top
C28,62.3,33.675,270.0,top
C29,50.55,28.45,270.0,top
C3,44.722347,42.067492,56.25,top
C4,47.067492,39.722347,33.75,top
C5,48.336675,36.658268,11.25,top
C6,48.336675,33.341732,348.75,top
C7,47.067492,30.277653,326.25,top
C8,44.722347,27.932508,303.75,top
C9,41.658268,26.663325,281.25,top
D1,11.575,29.925,90.0,top
D10,40.0,26.5,45.0,top
D11,36.747191,27.147024,22.5,top
D12,33.989592,28.989592,0.0,top
D13,32.147024,31.747191,337.5,top
D14,31.5,35.0,315.0,top
D15,32.147024,38.252809,292.5,top
D16,33.989592,41.010408,270.0,top
D17,36.747191,42.852976,247.5,top
D18,63.9,34.6,180.0,top
D2,40.0,43.5,225.0,top
D20,53.35,37.0,0.0,top
D3,43.252809,42.852976,202.5,top
D4,46.010408,41.010408,180.0,top
D5,47.852976,38.252809,157.5,top
D6,48.5,35.0,135.0,top
D7,47.852976,31.747191,112.5,top
D8,46.010408,28.989592,90.0,top
D9,43.252809,27.147024,67.5,top
J3,60.0,30.5,0.0,top
J6,59.535,40.0,90.0,top
Q1,53.35,34.0625,90.0,top
R1,29.2,37.6,90.0,top
R10,56.0,35.75,180.0,top
R11,56.1,42.9,270.0,top
R2,50.85,32.75,270.0,top
R3,55.2,42.9,90.0,top
R4,11.4,31.3,0.0,top
R5,29.2,27.100001,90.0,top
R6,29.2,28.900001,90.0,top
R7,29.2,30.700001,90.0,top
R9,56.0,34.75,0.0,top
SW2,9.0,35.0,90.0,top
U1,20.75,32.5,0.0,top
U2,53.3,30.5,270.0,top
U3,53.2375,40.0,0.0,top
U4,40.0,35.0,270.0,top
U6,9.1,39.9,180.0,top
U7,10.45,39.9,90.0,top
